frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed,robot_label
140,4.6667,-0.1,0.28,1.45,-1.1777777777777778,-0.3666666666666665,1.2155555555555555,placing_board,1,0.0,0.0,0,AgiBot Genie G2
141,4.7,-0.1,0.28,1.45,-1.18,-0.345,1.212,placing_board,1,0.0,0.0,0,AgiBot Genie G2
142,4.7333,-0.1,0.28,1.45,-1.1822222222222223,-0.32333333333333325,1.2084444444444444,placing_board,1,0.0,0.0,0,AgiBot Genie G2
143,4.7667,-0.1,0.28,1.45,-1.1844444444444444,-0.30166666666666675,1.204888888888889,placing_board,1,0.0,0.0,0,AgiBot Genie G2
144,4.8,-0.1,0.28,1.45,-1.1866666666666665,-0.28,1.2013333333333334,placing_board,1,0.0,0.0,0,AgiBot Genie G2
145,4.8333,-0.1,0.28,1.45,-1.1888888888888889,-0.2583333333333335,1.1977777777777778,placing_board,1,0.0,0.0,0,AgiBot Genie G2
146,4.8667,-0.1,0.28,1.45,-1.191111111111111,-0.23666666666666702,1.1942222222222223,placing_board,1,0.0,0.0,0,AgiBot Genie G2
147,4.9,-0.1,0.28,1.45,-1.1933333333333334,-0.21499999999999964,1.1906666666666665,placing_board,1,0.0,0.0,0,AgiBot Genie G2
148,4.9333,-0.1,0.28,1.45,-1.1955555555555555,-0.19333333333333313,1.187111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
149,4.9667,-0.1,0.28,1.45,-1.1977777777777778,-0.1716666666666664,1.1835555555555555,placing_board,1,0.0,0.0,0,AgiBot Genie G2
150,5.0,-0.1,0.28,1.45,-1.2,-0.15,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
151,5.0333,-0.1,0.28,1.45,-1.2,-0.15836227706141223,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
152,5.0667,-0.1,0.28,1.45,-1.2,-0.1666329352654207,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
153,5.1,-0.1,0.28,1.45,-1.2,-0.1747213595499957,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
154,5.1333,-0.1,0.28,1.45,-1.2,-0.1825389314460641,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
155,5.1667,-0.1,0.28,1.45,-1.2,-0.19000000000000006,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
156,5.2,-0.1,0.28,1.45,-1.2,-0.1970228201833979,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
157,5.2333,-0.1,0.28,1.45,-1.2,-0.20353044850870866,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
158,5.2667,-0.1,0.28,1.45,-1.2,-0.20945158603819153,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
159,5.3,-0.1,0.28,1.45,-1.2,-0.21472135954999577,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
160,5.3333,-0.1,0.28,1.45,-1.2,-0.21928203230275506,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
161,5.3667,-0.1,0.28,1.45,-1.2,-0.223083636611408,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
162,5.4,-0.1,0.28,1.45,-1.2,-0.22608452130361228,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
163,5.4333,-0.1,0.28,1.45,-1.2,-0.22825180805870446,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
164,5.4667,-0.1,0.28,1.45,-1.2,-0.22956175162946185,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
165,5.5,-0.1,0.28,1.45,-1.2,-0.22999999999999998,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
166,5.5333,-0.1,0.28,1.45,-1.2,-0.22956175162946185,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
167,5.5667,-0.1,0.28,1.45,-1.2,-0.22825180805870446,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
168,5.6,-0.1,0.28,1.45,-1.2,-0.2260845213036123,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
169,5.6333,-0.1,0.28,1.45,-1.2,-0.223083636611408,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
170,5.6667,-0.1,0.28,1.45,-1.2,-0.21928203230275506,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
171,5.7,-0.1,0.28,1.45,-1.2,-0.21472135954999577,1.15,fastening,1,35.0,0.25,0,AgiBot Genie G2
172,5.7333,-0.1,0.28,1.45,-1.2,-0.20945158603819153,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
173,5.7667,-0.1,0.28,1.45,-1.2,-0.20353044850870866,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
174,5.8,-0.1,0.28,1.45,-1.2,-0.1970228201833979,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
175,5.8333,-0.1,0.28,1.45,-1.2,-0.19000000000000006,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
176,5.8667,-0.1,0.28,1.45,-1.2,-0.18253893144606412,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
177,5.9,-0.1,0.28,1.45,-1.2,-0.1747213595499957,1.15,fastening,1,120.0,1.0,1,AgiBot Genie G2
178,5.9333,-0.1,0.28,1.45,-1.2,-0.1666329352654207,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
179,5.9667,-0.1,0.28,1.45,-1.2,-0.15836227706141226,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
180,6.0,-0.1,0.28,1.45,0.0,-0.15,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
181,6.0333,-0.1,0.28,1.45,0.0,-0.15836227706141223,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
182,6.0667,-0.1,0.28,1.45,0.0,-0.1666329352654207,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
183,6.1,-0.1,0.28,1.45,0.0,-0.1747213595499957,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
184,6.1333,-0.1,0.28,1.45,0.0,-0.1825389314460641,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
185,6.1667,-0.1,0.28,1.45,0.0,-0.19000000000000006,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
186,6.2,-0.1,0.28,1.45,0.0,-0.1970228201833979,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
187,6.2333,-0.1,0.28,1.45,0.0,-0.20353044850870866,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
188,6.2667,-0.1,0.28,1.45,0.0,-0.20945158603819153,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
189,6.3,-0.1,0.28,1.45,0.0,-0.21472135954999577,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
190,6.3333,-0.1,0.28,1.45,0.0,-0.21928203230275506,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
191,6.3667,-0.1,0.28,1.45,0.0,-0.223083636611408,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
192,6.4,-0.1,0.28,1.45,0.0,-0.22608452130361228,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
193,6.4333,-0.1,0.28,1.45,0.0,-0.22825180805870446,1.15,fastening,1,35.0,0.25,1,AgiBot Genie G2
