frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
40,1.3333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.925925925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
41,1.3667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.923732407407407,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
42,1.4,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9215999999999998,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
43,1.4333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.919534259259259,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
44,1.4667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9175407407407405,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
45,1.5,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.915625,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
46,1.5333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9137925925925927,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
47,1.5667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.912049074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
48,1.6,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9104,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
49,1.6333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.908850925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
