frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,tool_grasped,robot_label
57,1.9,-0.1,0.28,1.45,-1.6358717201166177,-1.7881362099125364,1.59,-1.6358717201166177,-1.6281362099125365,1.34,-2.235871720116618,-1.4881362099125364,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
58,1.9333,-0.1,0.28,1.45,-1.6217160133894826,-1.7501989158838136,1.59,-1.6217160133894826,-1.5901989158838137,1.34,-2.2217160133894827,-1.4501989158838136,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
59,1.9667,-0.1,0.28,1.45,-1.6076173199438504,-1.7124144174495193,1.59,-1.6076173199438504,-1.5524144174495194,1.34,-2.2076173199438505,-1.4124144174495192,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
60,2.0,-0.1,0.28,1.45,-1.5935860058309035,-1.6748104956268224,1.59,-1.5935860058309035,-1.5148104956268225,1.34,-2.1935860058309036,-1.3748104956268223,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
61,2.0333,-0.1,0.28,1.45,-1.5796324371018247,-1.6374149314328907,1.59,-1.5796324371018247,-1.4774149314328908,1.34,-2.1796324371018247,-1.3374149314328907,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
62,2.0667,-0.1,0.28,1.45,-1.5657669798077958,-1.6002555058848937,1.59,-1.5657669798077958,-1.4402555058848938,1.34,-2.165766979807796,-1.3002555058848937,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
63,2.1,-0.1,0.28,1.45,-1.5519999999999996,-1.5633599999999999,1.59,-1.5519999999999996,-1.40336,1.34,-2.1519999999999997,-1.2633599999999998,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
64,2.1333,-0.1,0.28,1.45,-1.5383418637296185,-1.5267561947953785,1.59,-1.5383418637296185,-1.3667561947953786,1.34,-2.1383418637296185,-1.2267561947953785,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
65,2.1667,-0.1,0.28,1.45,-1.5248029370478347,-1.4904718712881981,1.59,-1.5248029370478347,-1.3304718712881982,1.34,-2.1248029370478347,-1.190471871288198,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
66,2.2,-0.1,0.28,1.45,-1.5113935860058305,-1.4545348104956264,1.59,-1.5113935860058305,-1.2945348104956265,1.34,-2.1113935860058306,-1.1545348104956263,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
67,2.2333,-0.1,0.28,1.45,-1.4981241766547888,-1.418972793434834,1.59,-1.4981241766547888,-1.258972793434834,1.34,-2.098124176654789,-1.118972793434834,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
